name;area of expertise;topic;keywords;date;preferred city
Marc Kochzius;Professor of Marine Biology;Vrije Universiteit Brussel;Marine biology, in particular coral reefs;04/03/2019;Leuven
Marc Kochzius;Professor for Marine Biology;Vrije Universiteit Brussel (VUB);Marine Biology, from tropical coral reefs to polar seas.;30/03/2021;Leuven
Marc Meuris;Programme Manager;IMEC/IMOMEC;Materials, Renewable energy;24/04/2019;​
Marc Vandenbrande;Creative video maker and scientist;Marc Vandenbrande;Video, communication, change;02/04/2019;not set
Marc-Antoine Sabaté;PhD Student in Political Science;Université libre de Bruxelles;Political Science, Political Theory, Political Philosophy;05/04/2019;Leuven
Marco Coratolo;PhD Candidate, Neuroscience;Université de Liège;Neuroscience, art, memory;14/04/2019;​
Marco Gandolfi;Ph.D. Student;KU Leuven and Università Cattolica del Sacro Cuore;Fundamental physics of nano-structures;02/04/2019;Brussels
Marco Marino;Postdoctoral researcher;KU Leuven;Neuroscience and Neuroimaging;06/02/2020;Brussels
Marcus Ingram;Postdoctoral Research Associate;KU Leuven;Echocardiography;20/11/2020;Brussels
Margot Michaud;Postdoctorant in evolutionary biology;Royal Museum for Central Africa, Department of African Zoology;Paleontology - Zoology / Brain Evolution;11/01/2021;Leuven
Marianna Decet;PhD student, Lab of Neuronal Communication;VIB Center for Brain and Disease Research, KU Leuven;How do neurons take their garbage out and what happens when they don’t?;17/04/2023;Brussels
Marianna Decet;PhD Student;VIB Center for Brain and Disease Research, KU Leuven;;12/04/2023;​
Marie Van de Sande;Postdoctoral researcher;KU Leuven;Stellar Astronomy & Astrochemistry;02/04/2019;Brussels
Marie Van de Sande;Postdoctoral fellow;KU Leuven;Physics and astronomy. Recycling a star;01/09/2020;Brussels
Marie Vanhoof;Assistant of Anatomy;KU Leuven;Human/primate evolution/anatomy;17/03/2019;​
Marie-Leen Verdonck;Advisor;Antea Group;Urban heat islands and sustainable urban planning;05/04/2019;not set
Marieke Dubois;Post-doctoral Scientist;VIB-UGent Center for Plant Systems Biology;molecular plant biology;13/04/2019;​
Mariella Debille;Researcher;Odisee University College;Industrial Science and Technology - Biotechnology;10/04/2019;​
Marijke De Belder;Postdoc Researcher;Oldenburg University, Germany;Dutch linguistics;10/04/2019;​
Marjan Doom;Director Ghent University Museum;Ghent University;Science and Art;04/04/2019;​
Marlies Vanden Bempt;Coordinator of the single-cell immune-oncology platform;VIB center for cancer biology;single-cell sequencing in immuno-oncology;05/04/2019;not set
Marlies Vanden Bempt;Postdoctoral researcher;VIB- KU Leuven Center for Cancer Biology;Animal experiments;30/04/2021;Brussels
Marnix Surgeon;Adjunct afdelingshoofd;Europese Commissie;Research and Innovation Policy;07/04/2019;​
Marta, Vanin;(nearly graduated) PhD student;KU Leuven and Energyville;Electricity distribution networks;27/10/2022;​
Marthe De Boevre;Post-Doctoral Researcher – MYTOX-SOUTH Co-Coordinator;Ghent University;‘Mycotoxins and human health impact’;12/04/2019;Leuven
Martin Roelfs;PhD Student, Science, Engineering and Technology Group;KU Leuven (Kortrijk Campus);symmetry play in modern physics;13/04/2019;​
Martina Orefice;Postdoctoral researcher;KU Leuven;Metal extraction, separation and recovery;19/11/2019;Brussels
Marzia Mazzonetto;Deputy Coordinator;TRANSFORM project;Stakeholder engagement, public consultation, science enagagement;09/09/2020;Leuven
Massaut Vincent;Deputy Director Nuclear research Center;SCK-CEN, Mol;Dismantling of nuclear facilities and thermonuclear fusion;22/05/2019;​
Mathias Bonal;PhD candidate;ULB;Microbiology;01/02/2023;not set
Matthias Heyman;Postdoctoral Fellow, Jazz and Popular Music;Antwerp University;Jazz and Popular Music Research;08/04/2019;Brussels
Matthieu Da Costa;PhD Fellow, Center of Synthetic Biology;Ghent University;Biocatalysis and Enzyme Engineering;08/04/2019;​
Matthieu Kervyn De Meerendre;Professor;VUB;Volcanology;16/04/2023;Leuven
Maxime Duménil;Chargé de projet – Cellule de diffusion des sciences et des technologies de l’UMONS;UMONS;Technology;19/04/2019;​
Melissa Mabesoone;;;;15/05/2023;​
Melody Cools;Research Associate;LABIRIS;Yeast as model organism for cellular biology;16/04/2023;Leuven
Merlijn Morisse;Biotech project manager, project EMPHASIS;VIB-UGent Center for Plant Systems Biology;plant biology, crops;13/04/2019;​
Michael Creek;Co-Founder;Stickydot;Participation, co-creation, consensus decision-making, deliberative democracy;31/08/2020;Leuven
Michael Hinneh;PhD researcher;Ghent University;Modify post-harvest conditions to improve the taste of bulk cocoa and chocolate;11/04/2019;​
Michael Hinneh;Doctoral Researcher - Cocoa & Chocolates;Ghent University, KU Leuven;Cocoa & Chocolates, flavor chemistry, food technology;30/04/2019;​
Michel Crucifix;Senior research associate and professor;Université Catholique de Louvain;Climatology;13/04/2019;​
Michel Tytgat;null;Université Libre de Bruxelles;Cosmologie (inflation, from infinitely small to infinitely big);04/03/2019;Leuven
Michele Nicastro;;University of Antwerp, Faculty of Sciences;Magnetic resonance images: just pretty pictures, or is there more to it?;13/04/2019;Ostend
Michiel Schreurs;PhD student at Leuven institute for beer research;Leuven institute for beer research;Beer;29/09/2022;Brussels
Mihir Gupta;Researcher;IMEC KU Leuven;Personalized medicine using computer chip technology;18/04/2022;Brussels
Mihnea Tanasescu;Senior Research Fellow, political ecology;Vrije Universiteit Brussel;The rights of nature, the politics of ecological collapse;18/02/2022;not set
Mike Laverick;Ph.D. student;KU Leuven;Stellar Astronomy & Atomic Physics;02/04/2019;Brussels
Mireia Valles-Colomer;Ph.D. Student;VIB - KU Leuven;Bioinformatics, Systems biology, Microbiology;02/04/2019;Leuven
Mystery Man;Ongetwijfeld een zeer interessante betrekking;De universiteit van de toekomst;...;14/04/2019;​
Mélibée Morel;PhD student;University of Antwerp- Biology department;Behavioural ecology and movement ecology in birds;17/04/2023;Antwerp
Natalia Alderete;Post-doc in Civil Engineering;Ghent University;Sustainable materials in concrete technology;08/04/2019;​
Nathan Van Den Bossche;Associate Professor;Faculteit Ingenieurswetenschappen en Architectuur, Universiteit Gent;Structural Design, Sustainable Construction, Building Techniques;02/04/2019;​
Nathaniel James Hendrik;PhD researcher;Ghent University;Use 3D printing technology to explore the possibility of cocoa and chocolate;11/04/2019;​
Nele Vandersickel;Post Doctoral Researcher;Ghent University;Heart diseases, computer modelling;02/04/2019;​
Nellie Konijnendijk;Policy officer equality and diversity;KU Leuven;Gender Equality and Diversity;08/04/2019;​
Nerea Rodriguez Rodriguez;Postdoctoral researcher;KU Leuven;Chemical engineering;12/04/2019;Brussels
Nick Vangheluwe;PhD candidate;VIB/UGent;Characterization of plant cell division in lateral root development;11/04/2019;​
Nico Callewaert;Group Leader;VIB;Microbiology, structural biology, Protemics;04/03/2019;​
Niels Langenaeken;Postdoctoral Researcher at the Laboratory of Food Chemistry and Biochemistry;KU Leuven;Impact of cereals on the efficiency and sustainability of brewing and beer;26/10/2022;Brussels
Nuria Martín García;Postdoctoral Fellow, Center for Surface Chemistry and Catalysis;KU Leuven;Chemical Catalysis;11/04/2019;​
Olga Gkotsopoulou;PhD Researcher;Vrije Universiteit Brussel;EU data protection legal language and accessibility;27/04/2022;​
Olivier Collignon;Principal Investigator, Research associate FNRS, ERC Grantee;Université Catholique de Louvain;Brain plasticity and sensory deprivation/restoration.;04/03/2019;​
Panagiotis Tsampanis;Honour student for the Institute of the Future;KU Leuven;Pandemics;18/04/2022;Brussels
Paola Ruffo;Marie-Curie Postdoctoral Researcher;Ghent University;I research human-computer interaction in literary translation;30/07/2023;Brussels
Paolo Carai;PhD student, CMVB, KU Leuven;KU Leuven;Heart failure;12/04/2019;Brussels
Patrice Cani;Professor and Senior Research Associate FRS-FNRS, ERC Grantee, Welbio grantee;Université Catholique de Louvain, FNRS, WELBIO;Investigation of the role of the gut microbiota in metabolic diseases;03/04/2019;​
Patrice Soumillion;Professor;Université Catholique de Louvain;Biochemistry and genetics of micro-organisms;03/04/2019;​
Patrik Verstreken;Principal Investigator, ERC Grantee;VIB- KU Leuven;Neuroscience;11/04/2019;​
Pedro Fardim;Professor, Chemical Engineering;KU Leuven;sustainable technologies, creative research and education, Chemical Engineering;03/05/2019;Leuven
Philippe Jorens;;University of Antwerp, Faculty of Medicine and Health Sciences;The smart medicine of the future.;13/04/2019;Ostend
Philippe Mertens;Advisor;Brulocalis;Participatory governance. citizen engagement. Citizen initiatives;01/09/2020;Leuven
Pierre Van Damme;;University of Antwerp, Faculty of Medicine and Health Sciences;Nederlanders worden in Antwerpen in containers opgesloten voor de wetenschap: een;13/04/2019;Ostend
Pierre Vanderhaeghen;Principal Investigator, ERC Grantee, Welbio grantee;VIB- KU Leuven & Université Libre de Bruxelles;Human brain development;11/04/2019;​
Pierre de Buyl;Physicist;Royal Meteorological Institute of Belgium;Physics;22/04/2022;Brussels
Pierre de Buyl;Postdoctoral research in Physics;KU Leuven;Statistical physics and nonlinear dynamics;25/11/2019;Brussels
Pierre de Buyl;Scientist at the Royal Meteorological Institute of Belgium;Royal Meteorological Institute of Belgium;Earth Radiation Budget;03/02/2024;Brussels
Piet Bracke;Professor of Sociology;Ghent University;Sociology of health and illness, social epidemiology, gender and power;18/03/2019;​
Pieter Tijtgat;Science communicator and researcher;Odisee University College;Education;10/04/2019;​
Pirita Lindholm;Director;European Regions Research and Innovation Network (ERRIN);Smart cities, research policy, climate change;31/08/2020;Leuven
Pralle Kriengwatana;Postdoctoral researcher;KU Leuven, Belgium;comparative bioacoustics, animal welfare, acoustic enrichment;12/02/2024;Leuven
Prashant Kadam;Postdoctoral Research Scientist;Vrije Universiteit Brussel;Male festility vs toxicology;22/04/2022;​
Prashant Kadam;Postdoctoral researcher;Vrije Universiteit Brussel;Animal welfare, preclinical disease modeling, and lab animal sciences;25/04/2022;​
Prof. dr. Ir. Jana Asselman;Professor Oceans & Human Health, Universiteit Gent (UGent);;;20/04/2023;Ostend
Prof. dr. Ronny Blust;Vicerector Onderzoek en gewoon hoogleraar Onderzoeksgroep Ecosphere, Departement Biologie, Universiteit Antwerpen;;;20/04/2023;Ostend
Quinten Deparis;Post-Doc Laboratory For Genetics And Genomics;KU Leuven;How did our ancestors help in creating the beer yeast diversity;27/11/2022;​
Raes;Professor of Psychology;KU Leuven;depression, worry, psychotherapy, mindfulness;17/03/2022;Ostend
Rahimpour, Masoomeh;Ms.;KU Leuven, department of imaging and pathology;Medical Image processing;14/02/2020;Brussels
Raya Mertens;Post-doctoral researcher;KU Leuven;3D printing, material study;18/03/2019;​
Renata Barros;Geology postdoctoral researcher;Geological Survey of Belgium;Regional geology and subsurface management;10/04/2019;Leuven
Renske van Raaphorst;Postdoctoral researcher;UCL;Genetics of bacteria;16/04/2023;​
Rocco Stirparo;Ph.D Student;VIB - KU Leuven Center for Cancer Biology;Cancer Biology, Leukemia;02/04/2019;​
Rodolfo Marin Rivera;Research Associate;KU Leuven;Chemical engineering, metallurgy, extraterrestrial mining;07/02/2024;Leuven
Roelfs Martin;PhD Student;KU Leuven;Physics;14/04/2019;​
Roland Lehoucq;Astrophysicien;Commissariat à l'énergie atomique et aux énergies alternatives;Astrophysique, vulgarisation;29/04/2021;​
Romain Laugier;Astronomer;KU Leuven, Belgium;Direct imaging of exoplanets with interferometry;21/11/2022;Brussels
Ronald Terrazas Mallea;PhD Student;Université Libre de Bruxelles;Manipulation microparticles;04/03/2019;Leuven
Rosa Fucci;PhD student;University of Antwerp;organic synthesis, heterogeneous and homogeneous catalysis;03/03/2019;Ostend
Rémi Collombet-Gourdon;Policy Officer;Ocean Energy Europe;Marine energy, ocean energy, renewables;24/04/2019;not set
Saelens Xavier;Professor;IRC, VIB Ugent;Influenza;14/04/2019;​
Sainan Sun;Postgraduate Researcher;ULB;Ice sheet modelling;30/04/2019;Leuven
Sandra Van Vlierberghe;Principal investigator;Centre of Macromolecular Chemistry, University of Ghent;Polymer Chemistry & Biomaterials;02/04/2019;Leuven
Sarah Baatout;Professor in Radiobiology;Belgian Nucler Research Center (SCK CEN), Mol, Belgium;(Space) radiation biology & medicine, human physiology, Antarctica;05/04/2020;Leuven
Sarah Baatout;Professor, Head of Radiobiology Unit;Belgian Nuclear Research Centre;Radiobiology - space radiation, how that impacts space travel;04/03/2019;Leuven
Sarah Vanbesien;Laureaute of EOS scription price 2018;Ghent University;Bio-engineer, bees and plants, mathematical modeling, app development;14/04/2019;​
Sarah Verlust;Associate Professor in Hearing Technology;Ghent University, WAVES;How sound and speech are encoded along the auditory pathway.;04/03/2019;​
Sarah Wauthy;PhD student;Université libre de Bruxelles;Glaciology, ice cores from Antarctica;27/01/2023;Leuven
Sarah Wauthy;PhD candidate;ULB;Evolution of Antarctica ice;16/04/2023;Leuven
Sarah, Gorissen;PhD Student in Health Behaviours;KU Leuven;Epidemiology & Psychology: behaviour in pandemics;23/02/2024;Leuven
Sarina Geldhof;Postdoctoral researcher in experimental nuclear physics;KU Leuven/CERN;Laser spectroscopy of radioactive nuclei;31/03/2021;​
Savvas Savvides;Professor;VIB-UGent Center for Inflammation Research;Inflammation and immunity;14/05/2019;​
Sebastian Dan;;Departement Mobiliteit en Openbare Werken, Vlaamse overheid;Sand castles on the beach as a smart adaptation to rising sea levels.;13/04/2019;Ostend
Sebastian Proost;Senior postdoc;VIB - KU Leuven;Bacteria in human guts;01/09/2020;Brussels
Sebastian Rodriguez;CampaignTech consultant;Rollout Democracy;Technology applied to political campaigns;20/05/2019;Leuven
Shane Vermeersch;Teacher;;STEM computer, education, schools;13/04/2019;​
Silvia Pugliese;PhD student in Chemistry;University of Namur;Electrochemical reduction of CO2, with the aim of developing an artificial leaf;26/04/2021;​
Simon Ghiotto;fellow;simon ghiotto policy;basic income, family policy, poverty, life long learning;13/04/2021;​
Sofie Bossaert;PhD;Laboratory for Process Microbial Ecology and Bioinspirational Management (PME&BIM) of KU Leuven;barrel-ageing of (sour) beer;06/10/2022;​
Sonali Salvi;PhD Candidate;Center for Regenerative Therapies, TU Dresden;Stem cells, organoids, mini brains;21/03/2022;​
Sophie Verheyden;Dr in geosciences;Belspo - VUB - RBINS.;Environmental and climate reconstruction from speleothems i.e. stalagmites etc...;14/10/2019;Leuven
Stef Aerts;Program director, researcher and lecturer;Odisee University College;Industrial Science and Technology - Biotechnology;10/04/2019;​
Stefanie Dens;Ingenieur-architect, urbanist;Witteveen+Bos;urbanism;24/04/2019;Leuven
Stephan Hoornaert;Biomimicry;Morpho-Biomimicry;Molecular biology to astrobiology;02/05/2019;​
Steven DeGraer;Head of the marine ecology and management section;Royal Belgian Institute of Natural Sciences;marine management, nature conservation, ecosystem management, aquatic biodiversity;14/04/2019;Leuven
Steven Jillings;;University of Antwerp, Faculty of Sciences;How does space flight affect the brain?;13/04/2019;Ostend
Steven Latré;;University of Antwerp, Faculty of Sciences;Zijn computers intelligenter dan ons (aan het worden)?;13/04/2019;Ostend
Stuart Maudsley;;University of Antwerp, Faculty of Pharmaceutical, Biomedical and Veterinary Sciences;How precise can your medicine be?;13/04/2019;Ostend
Susan Nasif;Virologist, Founder and Artist;Cimaza;Virologist and Comic Artist;08/04/2019;Brussels
Sven Bulterijs;Master student in biochemie en biotechnologie;Universiteit Gent;Extending healthy human lifespan.;03/03/2019;​
Sven Van Haelst;Maritime archaeologist;Flanders Marine Institute (VLIZ);Maritime archeology;11/04/2019;Antwerp
Sylvie Nozaradan;Professor;UCLouvain;The neuroscience of musical rhythm: how music makes us move;09/03/2020;Leuven
Sébastien Clesse;Researcher;Université de Namur;Cosmologie, Inflation, Fond Cosmique Micro-ondes (CMB), Fond Cosmique, physique théorique;04/03/2019;​
Tamara Traitteur;MSc of Science, currently pursuing my PhD;University of Antwerp;Academic research in immunotherapy for autoimmune diseases;29/11/2021;Ostend
Tamaya Van Criekinge;PhD;University of Antwerp;Biomechanics, 3D movement/gait analysis, stroke rehabilitation/physiotherapy;25/07/2019;Ostend
Taïssa Danilovich;Postdoctoral researcher, member of an ERC-funded team;KU Leuven;Astronomy: Molecules around stars;08/04/2019;Brussels
Taïssa Danilovich;Senior Postdoctoral Fellow;KU Leuven;Molecules around dying stars;30/03/2021;Brussels
Thierry Dutoit;Professeur;UMONS;Speech and audio processing, signal processing;19/04/2019;​
Thijs van Gerrewey;Project Engineer & PhD student;Universiteit Gent;Vertical farming, crop quality, Plants in space;15/04/2019;not set
Thomas Ryckewaert;;;;15/05/2023;​
Tiago Falcone;Lambic brewer;Brussels Beer Project DANSAERT;Expert in Gueuze beers brewery;08/12/2022;​
Tim Boogaerts;Doctor in Pharmaceutical Sciences;University of Antwerp;Environmental Chemistry, Wastewater-based epidemiology, Pharmaceutical Sciences;23/10/2023;Antwerp
Tim Duerinck;PhD student Royal Academy of Fine Arts & Royal Conservatory;Universiteit Gent;Combines innovation with hand-made craftmanship to make new instruments;11/04/2019;​
Tom Lemmens;Ph.D. student, member of an ERC-funded team;KU Leuven;Theoretical Physics & Quantum Cosmology;03/04/2019;Brussels
Tom Mertens;Researcher and consultant;Biercentrum Delvaux;Beer Quality Control and Development;08/04/2019;Brussels
Toon Baeyens;PhD Researcher;Ghent University;Applied Mathematics, Computer Science and Statistics;10/04/2019;​
Toon Calders;Data mining researcher & Professor;University of Antwerp;Data mining, computer research;14/04/2019;Ostend
Valeria Zambianchi;Phd researcher;KU Leuven;;11/05/2023;Leuven
Valérie Pattyn;Assistant Professor;Leiden University;Science and policy;22/04/2022;​
Valérie Wittamer;Principal Investigator, FNRS Research Associate & WELBIO investigator;IRIBHM - Université Libre de Bruxelles;Hematopoietic cell development;11/04/2019;Leuven
Van Tricht Lander;PhD Student;VUB;Cryosphere, Glaciers, Climate Change;30/03/2022;Ostend
Vanessa Cool;PhD Candidate;KU Leuven, Department of Mechanical Engineering, Division LMSD, Leuven, Belgium;mechanical engineering, vibro-acoustics, (topology) optimization, metamaterials;05/01/2023;Brussels
Victoria Ossorio-Salazar;PhD student;Laboratory of Biological Psychology, KU Leuven.;Don’t be fooled! Small mice play a big role in chemotherapy research.;17/04/2023;Brussels
Victoria Ossorio-SalazarAlba Lopez-Moraga;PhD Student;KU Leuven;;12/04/2023;​
Vikram Virdi;Postdoctoral Researcher, member of an ERC-funded team;VIB-UGent Center for Medical Biotechnology;Biotechnology, transgenic plants, antobodies, seeds;13/04/2019;​
Ward Decaestecker;PhD Student;VIB-UGent Center for Plant Systems Biology;genome editing of plant genomes, plant biology;13/04/2019;​
Ward Van Roy;Aerial Surveillance Operator;Royal Belgian Institute of Natural Sciences;Plane sampling of water;22/04/2022;Leuven
Wenke Smets;;University of Antwerp, Faculty of Sciences;Allergies, pesticides and air pollution: large problems and their microscopic solu;13/04/2019;not set
Wim De Clercq;Professor;Universiteit Gent;Smakelijke genetica: het geval van het menapisch varken;13/04/2019;not set
Wim De Winter;Maritime historian;Flanders Marine Institute (VLIZ);Research on 18th century Southern-Netherlandish Prize Papers, Social and Cultural;11/04/2019;Antwerp
Wim Vanden Berghe;;University of Antwerp, Faculty of Pharmaceutical, Biomedical and Veterinary Sciences;From Ayurvedic root to nanodrug: a bumpy road from the tropical forest to the canc;13/04/2019;​
Wout Merbis;Dr in Theoretical Physics;Université Libre de Bruxelles;Black holes, gravity, time travel;04/03/2019;Leuven
Xavier Saelens;Professor;VIB-UGent Center for Medical Biotechnology;Inflammation and immunity, Microbiology, Human influenza;13/04/2019;​
Yoann Genolini;Post Doctoral Researcher;Université Libre de Bruxelles;Dark matter;14/04/2019;Leuven
Yongmei Gong;Post-Doctoral Researcher;Department of Geography, Vrije Universiteit Brussel;Glaciology, numerical modeler;14/04/2019;Leuven
Yury Gorbanev;;University of Antwerp;Chemical interactions between cold plasma and liquids;11/04/2019;Ostend
bart de strooper;professor of Alzheimer's Disease;Leuven and VIB;neuroscience, molecular cell biology, Alzheimer's Disease;17/01/2024;Leuven
koun choi;post doc;ULB (current) / USC (in may);particle and astro-particle physics;03/03/2020;Brussels
