name;area of expertise;topic;keywords;date;preferred city
Bethan Burnside;Neuroscience Communicator;VIB-KU Leuven Center for Brain & Disease Research;At the nexus of science communication, art curation, and neurodiversity advocacy.;15/01/2024;Antwerp
Bieke Vanslembrouck;PhD Student;Ghent University;Heart failure in young athletes;13/04/2019;​
Bob Oeyen;PhD student in astroparticle physics;Ghent University;Astroparticle physics, particle detection, cosmic rays, neutrinos;10/09/2021;​
Boris Krywicki;Doctorant;Université de Liège, Liège Game Lab;Video Games;20/04/2019;not set
Bram De Ridder;Postdoctoral Fellow, Faculty of Arts;KU Leuven;Early Modern History;08/04/2019;​
Bram Steenwinckel;Doctoraatsstudent;UGent;Artificial Intelligence;26/03/2019;​
Bram Wauters;Professor;Ghent University;Political Science;10/04/2019;​
Burlet Christian;Researcher in earth Sciences;Royal Belgian Institute of natural Sciences;ore geology, laser spectrometry, robotics;23/10/2019;Leuven
Carl Boel;Researcher;Odisee University College;Education and Technology;10/04/2019;​
Carlos Moya;Postdoctoral researcher;ULB - Université Libre de Bruxelles;Nanomaterials;22/04/2022;Leuven
Carlos Moya;Postdoctoral researcher at ULB/ Chemist with a PhD in Nanotechnology;ULB. Solbosh campus;Nanoscience, Magnetic nanomaterials, Precious metal recovery;18/02/2021;Leuven
Carmen Schiweck;PhD Student;KU Leuven;Biomedical sciences, mental health;14/04/2019;Brussels
Carmen, Schiweck;PhD candidate;KU Leuven;Psychiatry, Mental health, Immunology;09/05/2019;Leuven
Caroline Verdonck;PhD - student;Ghent University;Integrated Healthcare;04/04/2019;​
Catherine Henrist;Chimiste;Université de Liège;Chimie inorganique, Chimie structurale, alimentation zero dechet;20/04/2019;​
Cecilia Pazzi;PhD student;VIB-KU Leuven;Cancer Biology;18/01/2024;Leuven
Celia Alvarez Fernandez;PhD candidate;Ghent University;Urine recyclage for a crew in space;16/04/2023;Leuven
Cesar A. Urbina Blanco;PostDoctoral Researcher;Ghent University;Converting CO2 into useful chemicals;06/03/2019;​
Chantal Kesteloot;Researcher at Arch Belgium;Arch Belgium;Memory of WWI and WWII;16/04/2023;Brussels
Charlotte Van Driessche;FWO PhD Fellow;Ghent University and Research Institute for Nature and Forest (INBO);;12/04/2023;​
Charysse Vandendriessche & Arnout Bruggeman;PhD student & PhD student en neuroloog-in-opleiding;VIB, Universiteit Gent & UZ Gent;Intestinal flora and the brain: a gut feeling about Parkinson's disease;15/04/2019;​
Chiara Di Fronzo;Postdoc at Precision Mechatronic Laboratory, Université de Liège;Université de Liège;Gravitational waves;29/03/2023;​
Christel De Maeyer;Onderzoeker;Artevelde Hogeschool, associatie Universiteit Gent;Personal Informatics or Quantified Self;02/04/2019;​
